horizontal_flip {'p': 0}
Round: 10 Accuracy: 0.722
Round: 10 f1_score: 0.7213032581453636
Round: 10 average_Acc_f1: 0.7216516290726818


Round: 20 Accuracy: 0.736
Round: 20 f1_score: 0.7341239787943731
Round: 20 average_Acc_f1: 0.7350619893971866


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.496
Round: 1000 f1_score: 0.45178301049443953
Round: 1000 average_Acc_f1: 0.4738915052472198


seed: 44, noise_scale: 2
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.52
Round: 2 f1_score: 0.34582088575852066
Round: 2 average_Acc_f1: 0.43291044287926034


Round: 5 Accuracy: 0.636
Round: 5 f1_score: 0.6129570084554007
Round: 5 average_Acc_f1: 0.6244785042277003


Round: 10 Accuracy: 0.688
Round: 10 f1_score: 0.6824673104167005
Round: 10 average_Acc_f1: 0.6852336552083502


Round: 20 Accuracy: 0.734
Round: 20 f1_score: 0.7321993081479871
Round: 20 average_Acc_f1: 0.7330996540739936


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
